55.945334,-3.188103,ESE,55.945219,-3.187826,272.81,523.42
55.945219,-3.187826,E,55.945219,-3.187526,334.18,585.96
55.945219,-3.187526,E,55.945219,-3.187226,344.03,641.48
55.945219,-3.187226,ENE,55.945334,-3.186949,412.85,736.51
55.945334,-3.186949,E,55.945334,-3.186649,435.61,735.77
55.945334,-3.186649,S,55.945034,-3.186649,460.33,762.26
55.945034,-3.186649,W,55.945034,-3.186949,460.33,761.01
55.945034,-3.186949,WSW,55.944919,-3.187226,460.33,759.76
55.944919,-3.187226,SSW,55.944642,-3.187341,460.33,758.51
55.944642,-3.187341,NW,55.944854,-3.187553,460.33,757.26
55.944854,-3.187553,N,55.945154,-3.187553,460.33,756.01
55.945154,-3.187553,ENE,55.945269,-3.187276,460.33,754.76
55.945269,-3.187276,NNW,55.945546,-3.187391,460.33,753.51
55.945546,-3.187391,NNE,55.945823,-3.187276,460.33,752.26
55.945823,-3.187276,SSE,55.945546,-3.187161,460.33,751.01
55.945546,-3.187161,N,55.945846,-3.187161,460.33,749.76
55.945846,-3.187161,SE,55.945634,-3.186949,460.33,748.51
55.945634,-3.186949,NW,55.945846,-3.187161,460.33,747.26
55.945846,-3.187161,NE,55.946058,-3.186949,460.33,746.01
55.946058,-3.186949,ESE,55.945944,-3.186672,460.33,744.76
55.945944,-3.186672,W,55.945944,-3.186972,460.33,743.51
55.945944,-3.186972,NE,55.946156,-3.186760,460.33,742.26
55.946156,-3.186760,ESE,55.946041,-3.186482,460.33,741.01
55.946041,-3.186482,SSE,55.945764,-3.186368,460.33,739.76
55.945764,-3.186368,SSW,55.945487,-3.186482,460.33,738.51
55.945487,-3.186482,N,55.945787,-3.186482,460.33,737.26
55.945787,-3.186482,SSW,55.945509,-3.186597,460.33,736.01
55.945509,-3.186597,W,55.945509,-3.186897,460.33,734.76
55.945509,-3.186897,SE,55.945297,-3.186685,460.33,733.51
55.945297,-3.186685,SW,55.945085,-3.186897,460.33,732.26
55.945085,-3.186897,N,55.945385,-3.186897,460.33,731.01
55.945385,-3.186897,WSW,55.945270,-3.187174,460.33,729.76
55.945270,-3.187174,SSE,55.944993,-3.187060,460.33,728.51
55.944993,-3.187060,WNW,55.945108,-3.187337,460.33,727.26
55.945108,-3.187337,WSW,55.944993,-3.187614,460.33,726.01
55.944993,-3.187614,WSW,55.944878,-3.187891,460.33,724.76
55.944878,-3.187891,N,55.945178,-3.187891,460.33,723.51
55.945178,-3.187891,NNW,55.945456,-3.188006,460.33,722.26
55.945456,-3.188006,SW,55.945243,-3.188218,460.33,721.01
55.945243,-3.188218,SW,55.945031,-3.188430,460.33,719.76
55.945031,-3.188430,NNE,55.945308,-3.188315,460.33,718.51
55.945308,-3.188315,NNW,55.945586,-3.188430,460.33,717.26
55.945586,-3.188430,N,55.945886,-3.188430,460.33,716.01
55.945886,-3.188430,SSE,55.945608,-3.188315,460.33,714.76
55.945608,-3.188315,WNW,55.945723,-3.188592,460.33,713.51
55.945723,-3.188592,NNW,55.946000,-3.188707,460.33,712.26
55.946000,-3.188707,SSE,55.945723,-3.188592,460.33,711.01
55.945723,-3.188592,WSW,55.945608,-3.188870,460.33,709.76
55.945608,-3.188870,SSW,55.945331,-3.188984,460.33,708.51
55.945331,-3.188984,SE,55.945119,-3.188772,460.33,707.26
